"Watercourse
Crossing ID","PXID","KP (Rev 5.0)","Waterbody Name/FWMIS Waterbody ID Number (FWMIS 2014)/ Stream Order at Crossing Site","Classification (Alberta)","Field UTM Coordinates (NAD 83)","Easting","Northing","longitude","latitude","Map","Fish Species Captured or Observed (Previously Documented – FWMIS)","Sensitivity Rating","Provincial RAP (AESRD)","Least Risk Biological Window Proposed","Rationale to Support LRBW Proposed if different from Provincial RAP","Planned Instream Construction Timing","Riparian Habitat Composition & Functionality","Vegetation Type","Stage","Apparent Condition","Project Proposed Primary","Project Proposed Contingency","Project Proposed Primary","Navigability Status","Site-Specific Comments","Reclamation Type","Can all of DFO's Measures to Avoid Harm be implemented for the Primary Pipeline Construction Method?"
"AB-39","W72.3","96.61","Unnamed NCD/ no FWMIS ID","NCD","11","668263","5938588","-114.4589601","53.56913493","Map","None (none)","Low (Green)","None","Open","N/A","July 2018 to October 2019","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Type 3 culvert or Type 5 logfill/swamp mat","Class 1 Non- Navigable","No fish habitat potential.","Standard procedures and Type A.","Yes"
"AB-39a","W73.2","98.14","Unnamed Wetland/ no FWMIS ID","Wetland","11","666752","5938533","-114.4817837","53.56912333","Map","BRST (none)","Low (Green)","None","Open","N/A","July 2018 to October 2019","L","G","NA","Open","Isolated trenched with fish salvage","Open cut if dry or frozen to bottom","Existing crossing, clear span bridge, Type 3 culvert or Type 5 logfill/swamp mat","Refer to Wetland Survey and Mitigation Plan","QAES-led fish salvage required if isolated trenched construction occurs. Potential beaver activity within LSA. Refer to Wetland Survey and Mitigation Plan for additional recommendations relating to wetlands at this location.","Refer to Wetland Survey and Mitigation Plan.","Yes"
"AB-39b","W74.3","98.5","Unnamed tributary to Wabamun Lake/ no FWMIS ID","Class C (unmapped)","11","666424","5938396","-114.4868048","53.56799721","Map","None (none)","Low (Green)","None","Open","N/A","July 2018 to October 2019","L","G","NA","Open","Isolated trenched","Open cut if dry or frozen to bottom","Existing crossing, clear span bridge, Type 3 culvert or Type 5 logfill/swamp mat","Class 1 Non- Navigable","None.","Standard procedures and Type B.","Yes"
"AB-39c","W75.4","98.78","Unnamed NCD/118064/1","NCD","11","666162","5938291","-114.4908129","53.56713733","Map","None (none)","Low (Green)","None","Open","N/A","July 2018 to October 2019","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Type 3 culvert or Type 5 logfill/swamp mat","Class 1 Non- Navigable","No fish habitat potential.","Standard procedures and Type A.","Yes"
"AB-39d","W76.2","99.21","Unnamed Wetland/118259/1","Wetland","11","665745","5938203","-114.4971501","53.56647895","Map","None (none)","Low (Green)","None","Open","N/A","July 2018 to October 2019","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Refer to Wetland Survey and Mitigation Plan","Refer to Wetland Survey and Mitigation Plan","Refer to Wetland Survey and Mitigation Plan.","Refer to Wetland Survey and Mitigation Plan.","Yes"
"AB-39e","W77.2","99.25","Unnamed Wetland/ no FWMIS ID","Wetland","11","665710","5938206","-114.4976764","53.56651694","Map","None (none)","Low (Green)","None","Open","N/A","July 2018 to October 2019","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Refer to Wetland Survey and Mitigation Plan","Refer to Wetland Survey and Mitigation Plan","Refer to Wetland Survey and Mitigation Plan.","Refer to Wetland Survey and Mitigation Plan.","Yes"
"AB-39f","W78.2","99.71","Unnamed Wetland/ no FWMIS ID","Wetland","11","665279","5938090","-114.5042394","53.56561116","Map","BRST and FTMN (none)","High (Red)","April 16 to June 30(6)","July 1 to April 15","RAP was assigned by the assessing QAES based on the potential used by a Species of Management Concern (NRDC).","Summer 2018","L","G","NA","Open","Isolated trenched with fish salvage and water quality monitoring if inside RAP","Open cut if dry or frozen to bottom","Existing crossing or clear span bridge","Refer to Wetland Survey and Mitigation Plan","QAES-led fish salvage required if isolated trenched construction occurs. Potential beaver activity within LSA. Refer to Wetland Survey and Mitigation Plan for additional recommendations relating to wetlands at this location. Spring influence noted within LSA.","Refer to Wetland Survey and Mitigation Plan.","Yes. An isolated trenched pipeline crossing method will be required inside the LRBW (and would avoid potential use by NRDC)."
"AB-39g","W79.2","101.14","Unnamed Wetland/118185/1","Wetland","11","663908","5937837","-114.5250533","53.56376913","Map","BRST (none)","High (Red)","April 16 to June 30(6)","July 1 to April 15","RAP was assigned by the assessing QAES based on the potential used by a Species of Management Concern (NRDC).","Summer 2018","M","G","NA","Open","Isolated trenched with fish salvage and water quality monitoring if inside RAP","Open cut if dry or frozen to bottom","Clear span bridge","Refer to Wetland Survey and Mitigation Plan","QAES-led fish salvage required if isolated trenched construction occurs. Potential beaver activity within LSA. Refer to Wetland Survey and Mitigation Plan for additional recommendations relating to wetlands at this location. Spring influence noted within LSA.","Refer to Wetland Survey and Mitigation Plan.","Yes. An isolated trenched pipeline crossing method will be required inside the LRBW (and would avoid potential use by NRDC)."
"AB-39h","W80.3","101.45","Unnamed tributary to Wabamun Lake/26830/2","Class C (unmapped)","11","663640","5938001","-114.5290099","53.5653255","Map","BRST (BRST)","Low (Green)","April 16 to June 30","Open","No species of management concern present; construction can likely proceed anytime using recommended mitigation measures.","July 2018 to October 2019","H","M","YF","Patchy","Isolated trenched with fish salvage","Open cut if dry or frozen to bottom","Type 3 culvert or Type 5 logfill/swamp mat","Class 1 Non- Navigable","QAES-led fish salvage required if isolated trenched construction occurs. Potential beaver activity within LSA. Spring influence noted within LSA.","Standard procedures and Type B.","Yes"
"AB-40","W81.3","101.67","Unnamed NCD/ 118014/ 1","NCD","11","663444","5938096","-114.5319169","53.5662397","Map","None (none)","Low (Green)","None","Open","N/A","July 2018 to October 2019","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Type 3 culvert or Type 5 logfill/swamp mat","Class 1 Non- Navigable","No fish habitat potential.","Standard procedures and Type A.","Yes"
"AB-41","W83.3","103.53","Unnamed NCD/ 118014/ 2","NCD","11","662278","5939379","-114.5488396","53.57812329","Map","None (none)","Low (Green)","None","Open","N/A","July 2018 to October 2019","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Type 3 culvert or Type 5 logfill/swamp mat","Class 1 Non- Navigable","No fish habitat potential.","Standard procedures and Type A.","Yes"
"AB-42","W84.2","103.9","Unnamed NCD/ 117746/ 1","NCD","11","661993","5939549","-114.553052","53.57973803","Map","None (none)","Low (Green)","None","Open","N/A","July 2018 to October 2019","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Type 3 culvert or Type 5 logfill/swamp mat","Class 1 Non- Navigable","No fish habitat potential.","Standard procedures and Type A.","Yes"
"AB-42a","W85.3","106.66","Unnamed NCD/117758/1","NCD","11","659239","5939630","-114.5945699","53.5813087","Map","None (none)","Low (Green)","None","Open","N/A","July 2018 to October 2019","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Type 3 culvert or Type 5 logfill/swamp mat","Class 1 Non- Navigable","No fish habitat potential.","Standard procedures and Type A.","Yes"
"AB-43","W86.4","107.28","Unnamed NCD/ 117758/ 1","NCD","11","658623","5939648","-114.603857","53.58165699","Map","None (none)","Low (Green)","None","Open","N/A","July 2018 to October 2019","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Type 3 culvert or Type 5 logfill/swamp mat","Class 1 Non- Navigable","No fish habitat potential.","Standard procedures and Type A.","Yes"
"AB-44","W87.3","107.56","Unnamed tributary to Wabamun Lake/ 24215/ 2","Class C (unmapped)","11","658340","5939656","-114.6081238","53.58181434","Map","BRST (none)","Low (Green)","April 16 to June 30","Open","No species of management concern present; construction can likely proceed anytime using recommended mitigation measures.","July 2018 to October 2019","M","D","YF","Intact","Isolated trenched with fish salvage","Open cut if dry or frozen to bottom","Clear span bridge","Class 2 Non- Navigable","QAES-led fish salvage required if isolated trenched construction occurs. Steep, erodible and unstable banks at the centre of the proposed pipeline corridor. Crossing not perpendicular to watercourse at the centre of the proposed pipeline corridor.","Standard procedures and Type D.","Yes"
"AB-45","W88.2","107.91","Unnamed tributary to Wabamun Lake/ 24389/ 1","Class C (unmapped)","11","657993","5939666","-114.6133555","53.58200878","Map","None (none)","Low (Green)","April 16 to June 30","Open","No species of management concern present; construction can likely proceed anytime using recommended mitigation measures.","July 2018 to October 2019","M","G","NA","Open","Isolated trenched","Open cut if dry or frozen to bottom","Clear span bridge or Type 3 culvert","Class 1 Non- Navigable","Steep, erodible and unstable banks at the centre of the proposed pipeline corridor.","Standard procedures and Type G.","Yes"
"AB-46","W89.2","108.73","Unnamed NCD/ 117608/ 1","NCD","11","657168","5939690","-114.6257941","53.58247217","Map","None (none)","Low (Green)","None","Open","N/A","July 2018 to October 2019","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Type 3 culvert or Type 5 logfill/swamp mat","Class 1 Non- Navigable","No fish habitat potential.","Standard procedures and Type A.","Yes"
"AB-47","W90.4","111.61","Unnamed NCD/ 117730/ 1","NCD","11","654296","5939658","-114.669155","53.5830375","Map","None (none)","Low (Green)","None","Open","N/A","July 2018 to October 2019","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Type 3 culvert or Type 5 logfill/swamp mat","Class 1 Non- Navigable","No fish habitat potential.","Standard procedures and Type A.","Yes"
"AB-48","W91.4","112.33","Unnamed tributary to Wabamun Lake/ no FWMIS ID","Class C (unmapped)","11","653583","5939625","-114.6799323","53.58295038","Map","None (none)","Low (Green)","April 16 to June 30","Open","No species of management concern present; construction can likely proceed anytime using recommended mitigation measures.","July 2018 to October 2019","M","M","YF","Intact","Isolated trenched","Open cut if dry or frozen to bottom","Clear span bridge or Type 3 culvert","Class 1 Non- Navigable","Steep, erodible and unstable banks at the centre of the proposed pipeline corridor.","Standard procedures and Type F.","Yes"
"AB-50","W93.4","112.73","Unnamed NCD/ 117460/ 2","NCD","11","653204","5939664","-114.6856333","53.58341149","Map","None (none)","Low (Green)","None","Open","N/A","July 2018 to October 2019","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Type 3 culvert or Type 5 logfill/swamp mat","Class 1 Non- Navigable","No fish habitat potential.","Standard procedures and Type A.","Yes"
"AB-51","W94.4","113.49","Unnamed NCD/ no FWMIS ID","NCD","11","652451","5939634","-114.697013","53.58336146","Map","None (none)","Low (Green)","None","Open","N/A","July 2018 to October 2019","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Type 3 culvert or Type 5 logfill/swamp mat","Class 1 Non- Navigable","No fish habitat potential.","Standard procedures and Type A.","Yes"
"AB-52","W95.4","113.72","Unnamed tributary to Wabamun Lake/ 117732/ 1","Class C (unmapped)","11","652214","5939625","-114.7005944","53.58334946","Map","None (none)","Low (Green)","April 16 to June 30","Open","No species of management concern present; construction can likely proceed anytime using recommended mitigation measures.","July 2018 to October 2019","M","M","YF","Intact","Isolated trenched","Open cut if dry or frozen to bottom","Clear span bridge or Type 3 culvert","Class 1 Non- Navigable","No fish habitat potential.","Standard procedures and Type D.","Yes"
"AB-53","W96.3","114.65","Unnamed NCD/ 117723/ 1","NCD","11","651294","5939615","-114.714485","53.58352584","Map","None (none)","Low (Green)","None","Open","N/A","July 2018 to October 2019","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Type 3 culvert or Type 5 logfill/swamp mat","Class 1 Non- Navigable","No fish habitat potential.","Standard procedures and Type A.","Yes"
"AB-54","W97.2","115.44","Unnamed Wetland/ 117395/ 1","Wetland","11","650519","5939525","-114.7262257","53.58294049","Map","None (none)","Low (Green)","None","Open","N/A","July 2018 to October 2019","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Refer to Wetland Survey and Mitigation Plan","Refer to Wetland Survey and Mitigation Plan","Refer to Wetland Survey and Mitigation Plan.","Refer to Wetland Survey and Mitigation Plan.","Yes"
"AB-55","W98.3","120.18","Unnamed Wetland/ 117937/ 2","Wetland","11","645845","5939155","-114.7969469","53.58093772","Map","None (none)","Low (Green)","None","Open","N/A","July 2018 to October 2019","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Refer to Wetland Survey and Mitigation Plan","Refer to Wetland Survey and Mitigation Plan","Refer to Wetland Survey and Mitigation Plan.","Refer to Wetland Survey and Mitigation Plan.","Yes"
"AB-56","W99.4","121.78","Unnamed NCD/ 118062/ 2","NCD","11","644282","5939234","-114.8205013","53.58207956","Map","None (none)","Low (Green)","None","Open","N/A","July 2018 to October 2019","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Type 3 culvert or Type 5 logfill/swamp mat","Class 1 Non- Navigable","No fish habitat potential. Spring influence observed within LSA.","Standard procedures and Type A.","Yes"
"AB-57","W100.4","122.17","Unnamed NCD/ 117872/ 1","NCD","11","643890","5939214","-114.8264273","53.5820076","Map","None (none)","Low (Green)","None","Open","N/A","July 2018 to October 2019","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Type 3 culvert or Type 5 logfill/swamp mat","Class 1 Non- Navigable","No fish habitat potential.","Standard procedures and Type A.","Yes"
"AB-58","W101.4","122.72","Unnamed NCD/ 117933/ 1","NCD","11","643339","5939183","-114.8347583","53.58188003","Map","None (none)","Low (Green)","None","Open","N/A","July 2018 to October 2019","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Type 3 culvert or Type 5 logfill/swamp mat","Class 1 Non- Navigable","No fish habitat potential.","Standard procedures and Type A.","Yes"
"AB-59","W102.4","125.13","Unnamed tributary to Sturgeon River/ 24392/ 2","Class C (unmapped)","11","640934","5939062","-114.8711144","53.5814449","Map","None (none)","Low (Green)","April 16 to June 30","Open","No species of management concern present; construction can likely proceed anytime using recommended mitigation measures.","July 2018 to October 2019","L","G","NA","Open","Isolated trenched","Open cut if dry or frozen to bottom","Clear span bridge or Type 3 culvert","Class 2 Non- Navigable","Beaver activity noted within LSA. Refer to Wetland Survey and Mitigation Plan for additional recommendations relating to wetlands at this location.","Standard procedures and Type C.","Yes"
"AB-60","W103.5","125.82","Unnamed tributary to Isle Lake/ 24393/ 4","Class C","11","640254","5939074","-114.8813731","53.58173496","Map","BRST and FTMN (BRST. LKCH, FTMN, and WHSC)","Low (Green)","April 16 to June 30","Open","No species of management concern present; construction can likely proceed anytime using recommended mitigation measures.","July 2018 to October 2019","L","G","NA","Open","Isolated trenched with fish salvage","Open cut if dry or frozen to bottom","Existing crossing or clear span bridge","Potentially Navigable","QAES-led fish salvage required if isolated trenched construction occurs. Beaver activity noted in LSA (breach may be needed if trenched construction is required). Refer to Wetland Survey and Mitigation Plan for additional recommendations relating to wetlands at this location.","Standard procedures and Type F.","Yes"
"AB-61","W104.4","128.05","Unnamed Wetland/ 117709/ 1","Wetland","11","638031","5939232","-114.9148584","53.58374393","Map","None (none)","Low (Green)","None","Open","N/A","July 2018 to October 2019","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Refer to Wetland Survey and Mitigation Plan","Refer to Wetland Survey and Mitigation Plan","Refer to Wetland Survey and Mitigation Plan.","Refer to Wetland Survey and Mitigation Plan.","Yes"
"AB-62","W105.2","128.88","Unnamed NDC/ no FWMIS ID","NDC","11","637215","5939307","-114.9271433","53.58463175","Map","None (none)","Low (Green)","None","Open","N/A","July 2018 to October 2019","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Type 3 culvert or Type 5 logfill/swamp mat","Class 1 Non- Navigable","No fish habitat potential.","Standard procedures and Type A.","Yes"
"AB-63","W106.3","130.83","Unnamed Wetland/ 472583/ 1","Wetland","11","635265","5939177","-114.9566369","53.58397055","Map","None (none)","Low (Green)","None","Open","N/A","July 2018 to October 2019","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Refer to Wetland Survey and Mitigation Plan","Refer to Wetland Survey and Mitigation Plan","Refer to Wetland Survey and Mitigation Plan.","Refer to Wetland Survey and Mitigation Plan.","Yes"
"AB-64","W107.3","131.87","Unnamed Wetland/ 473188/ 2","Wetland","11","634239","5939271","-114.9720848","53.58507856","Map","None (none)","Low (Green)","None","Open","N/A","July 2018 to October 2019","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Refer to Wetland Survey and Mitigation Plan","Refer to Wetland Survey and Mitigation Plan","Refer to Wetland Survey and Mitigation Plan.","Refer to Wetland Survey and Mitigation Plan.","Yes"
"AB-66","W110.5","134","Pembina River/ 2179/ 6","Class C","11","632279","5939202","-115.0017034","53.58495676","Map","MNWH, sucker species (unidentified), trout species (unidentified), EMSH and WALL (ARGR, BKTR, BLTR, BURB, EMSH, FTMN, FNDC, FLCH, GOLD, LKCH, LNDC, LNSC, MNWH, NRPK, PRDC, RNTR, SPSC, TRPR, WALL, WHSC and YLPR)","High (Red)","September 1 to June 30","July 1 to August 31","Same as Provincial RAP.","Summer 2018","H","M","MF","Patchy","Trenchless with water quality monitoring","Open cut","Existing crossing","Navigable","If trenched method is required as a contingency method, realignment is recommended to avoid steep banks/approaches and a site-specific bank reclamation or compensation/offset plan may be needed.","Comply with federal and provincial regulations.","Yes. However, if required, a contingency trenched pipeline construction without flow isolation may occur outside the LRBW."
"AB-66a","W111.3","135.52","Unnamed NCD/471835/1","NCD","11","630780","5939375","-115.0242609","53.5868868","Map","None (none)","Low (Green)","None","Open","N/A","July 2018 to October 2019","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Type 3 culvert or Type 5 logfill/swamp mat","Class 1 Non- Navigable","No fish habitat potential.","Standard procedures and Type A.","Yes"
"AB-67","W113.4","135.82","Unnamed NCD/ 471835/ 1","NCD","11","630494","5939471","-115.0285387","53.58782044","Map","None (none)","Low (Green)","None","Open","N/A","July 2018 to October 2019","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Type 3 culvert or Type 5 logfill/swamp mat","Class 1 Non- Navigable","No fish habitat potential.","Standard procedures and Type A.","Yes"
"AB-68","W112.3","135.83","Unnamed Wetland/ 472533/ 1","Wetland","11","630489","5939472","-115.0286137","53.58783067","Map","None (none)","Low (Green)","None","Open","N/A","July 2018 to October 2019","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Refer to Wetland Survey and Mitigation Plan","Refer to Wetland Survey and Mitigation Plan","Refer to Wetland Survey and Mitigation Plan.","Refer to Wetland Survey and Mitigation Plan.","Yes"
"AB-69","W114.3","135.96","Unnamed tributary to Lobstick River/ 472533/ 1","Class C (unmapped)","11","630368","5939513","-115.0304234","53.58822908","Map","None (none)","Low (Green)","September 1 to June 30","Open","No species of management concern present; construction can likely proceed anytime using recommended mitigation measures.","July 2018 to October 2019","M","G","NA","Open","Isolated trenched","Open cut if dry or frozen to bottom","Clear span bridge or Type 3 culvert","Class 1 Non- Navigable","None.","Standard procedures and Type C.","Yes"
"AB-70","W115.2","136.17","Unnamed NCD/ 22694/ 3","NCD","11","630161","5939582","-115.0335199","53.58890034","Map","None (none)","Low (Green)","None","Open","N/A","July 2018 to October 2019","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Type 3 culvert or Type 5 logfill/swamp mat","Class 1 Non- Navigable","No fish habitat potential.","Standard procedures and Type A.","Yes"
"AB-70a","W116.3","136.53","Unnamed NCD/26836/2","NCD","11","629821","5939696","-115.0386059","53.59000872","Map","None (none)","Low (Green)","None","Open","N/A","July 2018 to October 2019","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Type 3 culvert or Type 5 logfill/swamp mat","Class 1 Non- Navigable","No fish habitat potential.","Standard procedures and Type A.","Yes"
"AB-71","W117.3","136.75","Unnamed Wetland/ 471287/ 1","Wetland","11","629603","5939721","-115.0418871","53.59028723","Map","None (none)","Low (Green)","None","Open","N/A","July 2018 to October 2019","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Refer to Wetland Survey and Mitigation Plan","Refer to Wetland Survey and Mitigation Plan","Refer to Wetland Survey and Mitigation Plan.","Refer to Wetland Survey and Mitigation Plan.","Yes"
"AB-72","W118.4","136.94","Unnamed NCD/ 471633/ 1","NCD","11","629421","5939730","-115.0446313","53.59041304","Map","None (none)","Low (Green)","None","Open","N/A","July 2018 to October 2019","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Type 3 culvert or Type 5 logfill/swamp mat","Class 1 Non- Navigable","No fish habitat potential.","Standard procedures and Type A.","Yes"
"AB-73","W119.5","137.9","Unnamed NCD/ 472237/ 1","NCD","11","628460","5939781","-115.0591205","53.59110751","Map","None (none)","Low (Green)","None","Open","N/A","July 2018 to October 2019","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Type 3 culvert or Type 5 logfill/swamp mat","Class 1 Non- Navigable","No fish habitat potential.","Standard procedures and Type A.","Yes"
"AB-74","W120.3","139.17","Unnamed NCD/ 473244/ 2","NCD","11","627186","5939848","-115.0783299","53.59201999","Map","None (none)","Low (Green)","None","Open","N/A","July 2018 to October 2019","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Type 3 culvert or Type 5 logfill/swamp mat","Class 1 Non- Navigable","No fish habitat potential.","Standard procedures and Type A.","Yes"
"AB-75","W121.3","139.76","Unnamed NCD/ 472178/ 2","NCD","11","626602","5939879","-115.0871356","53.59243982","Map","None (none)","Low (Green)","None","Open","N/A","July 2018 to October 2019","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Type 3 culvert or Type 5 logfill/swamp mat","Class 1 Non- Navigable","No fish habitat potential.","Standard procedures and Type A.","Yes"
"AB-76","W122.1","140.07","Unnamed Wetland/ 473244/ 3","Wetland","11","626294","5939895","-115.0917799","53.59265784","Map","None (none)","Low (Green)","None","Open","N/A","July 2018 to October 2019","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Refer to Wetland Survey and Mitigation Plan","Refer to Wetland Survey and Mitigation Plan","Refer to Wetland Survey and Mitigation Plan.","Refer to Wetland Survey and Mitigation Plan.","Yes"
"AB-77","W123.2","140.18","Unnamed NCD/ 471723/ 1","NCD","11","626184","5939901","-115.0934385","53.59273823","Map","None (none)","Low (Green)","None","Open","N/A","July 2018 to October 2019","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Type 3 culvert or Type 5 logfill/swamp mat","Class 1 Non- Navigable","No fish habitat potential.","Standard procedures and Type A.","Yes"
"AB-78","W124.3","141.52","Zeb-igler Creek/ 19828/ 3","Class C","11","624840","5939971","-115.1137054","53.59368884","Map","WHSC, PRDC, LKCH and FTMN (FTMN)","Low (Green)","April 16 to June 30","Open","No species of management concern present; construction can likely proceed anytime using recommended mitigation measures.","July 2018 to October 2019","L","G","NA","Open","Isolated trenched with fish salvage","Open cut if dry or frozen to bottom","Clear span bridge","Class 3 Non- Navigable","QAES-led fish salvage required if isolated trenched construction occurs. Beaver activity noted within LSA. Steep, erodible and unstable banks at the centre of the proposed pipeline corridor. Refer to Wetland Survey and Mitigation Plan for additional recommendations relating to wetlands at this location.","Standard procedures and Type D.","Yes"
"AB-79","W125.1","141.85","Unnamed Wetland/ 472835/ 2","Wetland","11","624509","5939989","-115.1186965","53.59392926","Map","BRST and PRDC (none)","Low (Green)","None","Open","N/A","July 2018 to October 2019","L","G","NA","Open","Isolated trenched with fish salvage","Open cut if dry or frozen to bottom","Clear span bridge, Type 3 culvert or Type 5 logfill/swamp mat","Refer to Wetland Survey and Mitigation Plan","QAES-led fish salvage required if isolated trenched construction occurs. Refer to Wetland Survey and Mitigation Plan for additional recommendations relating to wetlands at this location.","Refer to Wetland Survey and Mitigation Plan.","Yes"
"AB-80","W126.3","144.15","Unnamed NCD/ 472353/ 1","NCD","11","622232","5939801","-115.1531553","53.59277613","Map","None (none)","Low (Green)","None","Open","N/A","July 2018 to October 2019","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Type 3 culvert or Type 5 logfill/swamp mat","Class 1 Non- Navigable","No fish habitat potential.","Standard procedures and Type A.","Yes"
"AB-81","W127.3","144.58","Unnamed NCD/ 471820/ 1","NCD","11","621822","5939748","-115.1593673","53.59239541","Map","None (none)","Low (Green)","None","Open","N/A","July 2018 to October 2019","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Type 3 culvert or Type 5 logfill/swamp mat","Class 1 Non- Navigable","No fish habitat potential.","Standard procedures and Type A.","Yes"
"AB-82RM","W128.3","144.98","Unnamed tributary to Lobstick River/ 24395/ 2","Class C (unmapped)","11","621427","5939700","-115.1653508","53.59205581","Map","BRST (none)","Low (Green)","September 1 to June 30","Open","No species of management concern present; construction can likely proceed anytime using recommended mitigation measures.","July 2018 to October 2019","M","D","YF","Patchy","Isolated trenched with fish salvage","Open cut if dry or frozen to bottom","Clear span bridge","Class 1 Non- Navigable","QAES-led fish salvage required if isolated trenched construction occurs. Steep and unstable banks downstream of the centre of the proposed pipeline corridor. For methods of assessment at this site see Section 3.3.1 of this supplemental report.","Standard procedures and Type C.","Yes"
"AB-83RM","W129.4","145.21","Unnamed NCD/ 471887/ 1","NCD","11","621199","5939715","-115.1687879","53.59224333","Map","None (none)","Low (Green)","None","Open","N/A","July 2018 to October 2019","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Type 3 culvert or Type 5 logfill/swamp mat","Class 1 Non- Navigable","No fish habitat potential. For methods of assessment at this site see Section 3.3.1 of this supplemental report.","Standard procedures and Type A.","Yes"
"AB-84","W130.4","146.15","Unnamed tributary to Lobstick River/ no FWMIS ID","Class C (unmapped)","11","620280","5939761","-115.1826477","53.59286823","Map","None (none)","Low (Green)","September 1 to June 30","Open","No species of management concern present; construction can likely proceed anytime using recommended mitigation measures.","July 2018 to October 2019","M","S","Shr","Patchy","Isolated trenched","Open cut if dry or frozen to bottom","Clear span bridge or Type 3 culvert","Class 1 Non- Navigable","None.","Standard procedures and Type C.","Yes"
"AB-85","W131.4","146.76","Unnamed tributary to Lobstick River/ 472220/ 2","Class C (unmapped)","11","619676","5939803","-115.1917527","53.59338378","Map","None (none)","Low (Green)","September 1 to June 30","Open","No species of management concern present; construction can likely proceed anytime using recommended mitigation measures.","July 2018 to October 2019","M","S","Shr","Patchy","Isolated trenched","Open cut if dry or frozen to bottom","Clear span bridge, Type 3 culvert or Type 5 logfill/swamp mat","Class 1 Non- Navigable","None.","Standard procedures and Type C.","Yes"
"AB-86","W132.4","146.84","Unnamed NCD /2471942/ 1","NCD","11","619598","5939809","-115.1929283","53.59345549","Map","None (none)","Low (Green)","None","Open","N/A","July 2018 to October 2019","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Type 3 culvert or Type 5 logfill/swamp mat","Class 1 Non- Navigable","No fish habitat potential.","Standard procedures and Type A.","Yes"
"AB-87","W133.4","148.33","Unnamed NCD/ 471690/ 1","NCD","11","618109","5939877","-115.2153886","53.59440397","Map","None (none)","Low (Green)","None","Open","N/A","July 2018 to October 2019","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Type 3 culvert or Type 5 logfill/swamp mat","Class 1 Non- Navigable","No fish habitat potential.","Standard procedures and Type A.","Yes"
"AB-88","W134.4","148.48","Unnamed NCD/ 471911/ 1","NCD","11","617959","5939874","-115.217655","53.59441079","Map","None (none)","Low (Green)","None","Open","N/A","July 2018 to October 2019","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Type 3 culvert or Type 5 logfill/swamp mat","Class 1 Non- Navigable","No fish habitat potential.","Standard procedures and Type A.","Yes"
"AB-89","W135.4","148.99","Unnamed Wetland/ 471441/ 1","Wetland","11","617442","5939865","-115.225466","53.59444601","Map","None (none)","Low (Green)","None","Open","N/A","July 2018 to October 2019","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Refer to Wetland Survey and Mitigation Plan","Refer to Wetland Survey and Mitigation Plan","Refer to Wetland Survey and Mitigation Plan.","Refer to Wetland Survey and Mitigation Plan.","Yes"
